label	text
0	0	备胎是硬伤！
1	0	要说不满意的话，那就是动力了，1.5自然吸气发动机对这款车有种小马拉大车的感觉。如今天气这么热，上路肯定得开空调，开了后动力明显感觉有些不给力不过空调制冷效果还是不错的。
2	0	油耗显示13升还多一点，希望慢慢下降。没有倒车雷达真可恨
3	0	空调不太凉，应该是小问题。
4	0	1、后排座椅不能平放；2、科技感不强，还不如百万帝豪，最希望增加车联网的车机。像你好博越一样。3、全景摄像头不清楚，晚上基本上用处不大
5	1	车子外观好看，车内空间大。
6	1	最满意的真的不只一点，概括一下最满意的就是性价比了。ps:虽然没有s7性价比高(原厂记录仪,绿净)
7	0	底盘调教的很低，坐的感觉有些别扭，视角不是很好。
8	0	开空调时，一档起步动力不足。车子做工有点马虎。
9	1	那当然是外观了，换了圈加了尾翼，回头率直线上升。还有就是可玩性，晚上没事叫上车友漂个定圆，玩玩甩尾掉头，对得起大玩具的称号。
10	1	最满意的就是动力了和外观了
11	1	这个价位级别的车内饰和中控基本上都是硬塑料了，不过车内的储物空间的确非常多，这点非常满意！
12	0	地盘部分裸漏应加强防锈处理，发动机声音大应加强隔音处理！储物空间太小，只有一个杯座很是不方便。